カット,開始,終了,長さ(秒),入り方,演出候補,商品画像候補,モーション量,平均輝度,平均彩度
1,00:00.000,00:00.917,0.917,先頭,ズームイン候補,,1.344,82.7,105.0
2,00:00.917,00:02.567,1.65,カット,静止(商品画像表示候補),◯,0.463,65.3,105.7
3,00:02.567,00:04.067,1.5,カット,ズームイン候補,,2.989,76.8,73.8
4,00:04.067,00:06.733,2.667,カット,ズームアウト候補,,2.509,77.2,102.6
5,00:06.733,00:08.067,1.333,カット,-,,0.431,57.0,115.8
6,00:08.067,00:10.233,2.167,カット,モノクロ / ズームイン候補,,2.12,71.5,4.7
7,00:10.233,00:11.083,0.85,カット,ズームアウト候補,,3.103,65.9,128.5
8,00:11.083,00:14.333,3.25,ディゾルブ候補,-,,2.105,66.3,126.3
9,00:14.333,00:15.133,0.8,ディゾルブ候補,ズームアウト候補,,0.236,57.3,122.3
10,00:15.133,00:16.517,1.383,カット,ズームアウト候補,,2.85,79.7,87.7
11,00:16.517,00:18.083,1.567,カット,ズームイン候補,,2.318,78.2,105.4
12,00:18.083,00:19.250,1.167,カット,ズームアウト候補,,2.56,61.5,164.0
13,00:19.250,00:20.717,1.467,カット,ズームイン候補,,2.706,75.9,130.3
14,00:20.717,00:21.483,0.767,カット,ズームアウト候補,,6.344,74.9,165.3
15,00:21.483,00:22.383,0.9,カット,-,,3.995,92.5,72.5
16,00:22.383,00:23.167,0.783,ディゾルブ候補,-,,3.025,80.0,88.7
17,00:23.167,00:24.133,0.967,ディゾルブ候補,ズームアウト候補,,3.175,81.5,89.5
18,00:24.133,00:24.900,0.767,カット,ズームイン候補,,6.54,93.1,77.3
19,00:24.900,00:26.267,1.367,ディゾルブ候補,ズームアウト候補,,2.681,86.6,80.0
20,00:26.267,00:27.050,0.783,ディゾルブ候補,-,,3.76,86.2,80.2
21,00:27.050,00:27.833,0.783,カット,ズームアウト候補,,5.667,115.6,58.6
22,00:27.833,00:28.733,0.9,ディゾルブ候補,ズームアウト候補,,3.343,113.6,61.8
23,00:28.733,00:29.783,1.05,カット,ズームアウト候補,,2.904,79.9,145.3
24,00:29.783,00:30.650,0.867,ディゾルブ候補,ズームアウト候補,,2.477,80.9,146.4
25,00:30.650,00:32.800,2.15,カット,静止(商品画像表示候補),◯,0.79,73.8,145.8
26,00:32.800,00:35.467,2.667,ディゾルブ候補(要確認),静止(商品画像表示候補),◯,0.531,68.0,164.7
27,00:35.467,00:37.200,1.733,ディゾルブ候補(要確認),ズームイン候補,,1.97,69.7,159.1
28,00:37.200,00:40.533,3.333,ディゾルブ候補,ズームアウト候補,,1.782,73.3,150.7
29,00:40.533,00:41.683,1.15,ディゾルブ候補,ズームアウト候補,,2.424,61.5,131.3
30,00:41.683,00:42.867,1.183,ディゾルブ候補,-,,1.012,65.8,147.5
31,00:42.867,00:45.800,2.933,ディゾルブ候補,ズームイン候補,,2.129,67.9,136.3
32,00:45.800,00:46.917,1.117,ディゾルブ候補(要確認),ズームアウト候補,,1.128,72.8,136.7
33,00:46.917,00:48.267,1.35,ディゾルブ候補,-,,2.053,51.4,127.0
34,00:48.267,00:51.050,2.783,ディゾルブ候補,ズームアウト候補 / 静止(商品画像表示候補),◯,0.784,58.1,119.8
35,00:51.050,00:53.233,2.183,カット,静止(商品画像表示候補),◯,0.696,71.3,119.8
36,00:53.233,00:56.267,3.033,カット,静止(商品画像表示候補),◯,0.481,56.4,124.1
37,00:56.267,00:57.083,0.817,カット,ズームイン候補,,3.73,73.0,130.2
38,00:57.083,00:58.433,1.35,ディゾルブ候補,ズームアウト候補,,0.99,77.2,153.6
39,00:58.433,01:00.200,1.767,カット,ズームイン候補 / 静止(商品画像表示候補),◯,0.728,87.3,78.8
40,01:00.200,01:01.850,1.65,カット,静止(商品画像表示候補),◯,0.795,57.5,122.4
41,01:01.850,01:02.817,0.967,カット,ズームアウト候補,,2.109,84.5,185.1
42,01:02.817,01:04.517,1.7,カット,ズームイン候補 / 静止(商品画像表示候補),◯,0.817,82.7,103.1
43,01:04.517,01:05.550,1.033,ディゾルブ候補,ズームイン候補,,3.279,58.3,117.7
44,01:05.550,01:07.267,1.717,ディゾルブ候補,ズームアウト候補,,3.084,71.7,135.0
45,01:07.267,01:09.300,2.033,ディゾルブ候補(要確認),ズームアウト候補,,2.692,64.7,135.2
46,01:09.300,01:10.083,0.783,ディゾルブ候補,-,,0.595,58.5,123.7
47,01:10.083,01:12.250,2.167,カット,黒背景,◯,0.185,4.6,0.0
48,01:12.250,01:13.533,1.283,カット,-,,0.123,58.6,124.6
49,01:13.533,01:16.417,2.883,カット,ズームイン候補,,2.141,71.5,101.7
50,01:16.417,01:18.733,2.317,カット,ズームイン候補,,4.349,101.4,78.7
51,01:18.733,01:19.967,1.233,ディゾルブ候補,ズームイン候補,,6.739,98.7,90.8
52,01:19.967,01:21.680,1.713,カット,ズームイン候補,,1.994,142.5,75.6
